match,exphappy,samerace,hobby_diff_phys,hobby_diff_out,hobby_diff_in,same_goal,attr_diff,sinc_diff,intel_diff,fun_diff,amb_diff,income_diff,age_diff,same_career,confidence,imprace,date_freq,out_freq
1,6.0,0,23.0,15.0,21.0,1,25.09,17.18,30.27,13.18,11.18,,1.0,0,0.475,2.0,5.0,1.0
1,6.0,1,17.0,16.0,14.0,1,46.09,16.18,41.269999999999996,12.18,20.18,,0.0,0,0.5,5.0,5.0,1.0
0,6.0,1,19.0,18.0,17.0,0,30.09,22.18,36.269999999999996,14.18,17.18,,5.0,0,0.3,1.0,5.0,1.0
1,6.0,1,13.0,29.0,14.0,1,29.419999999999998,17.29,22.38,15.29,12.29,,2.0,0,0.3,4.5,5.0,1.0
1,6.0,1,24.0,17.0,27.0,0,43.91,16.18,34.269999999999996,10.18,16.18,,3.0,0,0.75,1.0,5.0,1.0
1,6.0,1,22.0,5.0,23.0,1,95.09,15.18,25.27,16.18,16.18,,1.0,0,0.725,1.0,5.0,1.0
0,6.0,0,10.0,22.0,17.0,1,40.0,15.0,25.0,33.0,12.0,,1.0,0,0.45,4.0,4.0,1.0
1,6.0,0,16.0,20.0,10.0,1,64.0,7.0,17.0,51.0,8.0,,4.0,0,0.875,1.0,4.0,1.0
1,6.0,0,8.0,7.0,13.0,0,28.0,15.0,24.0,30.0,14.0,,4.0,0,0.475,2.0,4.0,1.0
1,6.0,0,23.0,17.0,17.0,0,34.0,2.0,19.0,51.0,3.0,,3.0,0,0.75,1.0,4.0,1.0
1,6.0,0,19.0,15.0,17.0,1,36.0,7.0,24.0,23.0,4.0,,2.0,0,0.6,2.0,4.0,1.0
1,6.0,0,13.0,16.0,10.0,1,57.0,10.0,35.0,22.0,11.0,,1.0,0,0.625,5.0,4.0,1.0
1,6.0,0,15.0,18.0,15.0,0,41.0,12.0,30.0,24.0,8.0,,4.0,0,0.425,1.0,4.0,1.0
0,6.0,0,9.0,31.0,14.0,1,40.33,7.109999999999999,16.11,25.11,5.109999999999999,,1.0,0,0.425,4.5,4.0,1.0
1,6.0,0,26.0,19.0,23.0,0,53.0,10.0,28.0,20.0,7.0,,2.0,0,0.875,1.0,4.0,1.0
0,6.0,0,24.0,15.0,25.0,1,106.0,9.0,17.0,30.0,7.0,,2.0,0,0.85,1.0,4.0,1.0
0,7.0,1,16.0,10.0,11.0,0,36.0,18.0,21.0,43.0,14.0,,1.0,0,0.325,5.5,6.0,1.0
0,7.0,1,6.0,8.0,8.0,0,60.0,14.0,11.0,61.0,10.0,19415.0,4.0,0,0.75,2.5,6.0,1.0
1,7.0,0,18.0,11.0,13.0,1,24.0,18.0,20.0,40.0,12.0,,4.0,0,0.35,3.5,6.0,1.0
0,7.0,1,11.0,13.0,17.0,1,30.0,9.0,15.0,61.0,5.0,7928.0,3.0,0,0.625,2.5,6.0,1.0
0,7.0,0,7.0,15.0,13.0,0,32.0,10.0,20.0,33.0,2.0,11870.0,2.0,0,0.475,3.5,6.0,1.0
0,7.0,1,13.0,6.0,14.0,0,53.0,17.0,31.0,32.0,13.0,,1.0,0,0.5,6.5,6.0,1.0
0,7.0,1,9.0,10.0,17.0,0,37.0,15.0,26.0,34.0,10.0,10104.0,4.0,0,0.3,2.5,6.0,1.0
0,7.0,1,17.0,23.0,18.0,0,36.33,10.11,12.11,35.11,3.1099999999999994,3358.0,1.0,0,0.3,6.0,6.0,1.0
1,7.0,1,6.0,11.0,13.0,0,49.0,17.0,24.0,30.0,9.0,,2.0,0,0.75,2.5,6.0,1.0
0,7.0,1,8.0,15.0,17.0,0,102.0,16.0,11.0,40.0,9.0,,2.0,0,0.725,2.5,6.0,1.0
0,7.0,0,7.0,21.0,24.0,0,36.0,23.0,24.0,20.0,17.0,,6.0,0,0.125,4.5,5.0,4.0
0,7.0,1,12.0,16.0,8.0,1,65.0,19.0,29.0,23.0,8.0,,3.0,0,0.2,4.5,5.0,4.0
0,7.0,1,19.0,12.0,13.0,0,54.0,12.0,38.0,15.0,13.0,,2.0,0,0.125,7.5,5.0,4.0
0,7.0,1,20.0,16.0,16.0,1,40.0,23.0,25.0,24.0,13.0,,4.0,0,0.125,4.0,5.0,4.0
0,7.0,1,9.0,17.0,17.0,0,41.0,21.0,27.0,32.0,13.0,,6.0,0,0.325,7.5,5.0,4.0
0,7.0,0,13.0,12.0,10.0,1,32.0,29.0,23.0,30.0,5.0,,4.0,0,0.15,4.0,5.0,4.0
0,7.0,0,17.0,27.0,20.0,1,36.0,20.0,30.0,28.0,17.0,,5.0,0,0.15,4.5,5.0,4.0
0,7.0,1,14.0,22.0,23.0,1,29.09,25.18,31.27,23.18,21.18,,2.0,0,0.325,4.0,5.0,4.0
0,7.0,0,10.0,22.0,17.0,1,40.0,15.0,25.0,33.0,12.0,,1.0,0,0.45,4.0,5.0,4.0
0,7.0,1,16.0,10.0,11.0,0,36.0,18.0,21.0,43.0,14.0,,1.0,0,0.325,5.5,5.0,4.0
0,7.0,0,7.0,19.0,15.0,0,60.0,19.0,18.0,38.0,13.0,40250.0,1.0,0,0.55,1.5,1.0,1.0
0,7.0,1,12.0,14.0,17.0,1,89.0,9.0,23.0,41.0,12.0,36692.0,2.0,0,0.625,1.5,1.0,1.0
0,7.0,1,15.0,8.0,10.0,0,78.0,10.0,34.0,33.0,9.0,,3.0,0,0.55,4.5,1.0,1.0
0,7.0,1,18.0,14.0,13.0,1,64.0,19.0,17.0,42.0,9.0,8517.0,1.0,1,0.55,1.0,1.0,1.0
0,7.0,1,9.0,15.0,12.0,0,65.0,7.0,25.0,50.0,9.0,57103.0,1.0,1,0.75,4.5,1.0,1.0
0,7.0,0,11.0,10.0,15.0,1,56.0,23.0,19.0,48.0,9.0,31067.0,1.0,1,0.575,1.0,1.0,1.0
0,7.0,0,15.0,25.0,13.0,1,60.0,12.0,22.0,46.0,13.0,25383.0,0.0,1,0.575,1.5,1.0,1.0
1,7.0,1,16.0,20.0,18.0,1,53.09,13.18,25.27,41.18,17.18,,3.0,0,0.75,1.0,1.0,1.0
1,7.0,0,16.0,20.0,10.0,1,64.0,7.0,17.0,51.0,8.0,,4.0,0,0.875,1.0,1.0,1.0
0,7.0,1,6.0,8.0,8.0,0,60.0,14.0,11.0,61.0,10.0,19415.0,4.0,0,0.75,2.5,1.0,1.0
1,3.0,1,9.0,18.0,18.0,1,24.0,23.0,23.0,17.0,19.0,,1.0,0,0.15000000000000002,2.5,7.0,1.0
0,3.0,0,10.0,13.0,20.0,0,53.0,15.0,28.0,20.0,14.0,,2.0,0,0.225,2.5,7.0,1.0
0,3.0,0,19.0,9.0,9.0,0,42.0,12.0,37.0,12.0,13.0,,3.0,0,0.15000000000000002,5.5,7.0,1.0
0,3.0,0,20.0,13.0,14.0,0,28.0,23.0,24.0,21.0,13.0,,1.0,1,0.15000000000000002,2.0,7.0,1.0
0,3.0,0,9.0,16.0,9.0,1,29.0,17.0,26.0,29.0,13.0,,1.0,1,0.35,5.5,7.0,1.0
0,3.0,1,15.0,23.0,20.0,0,20.0,29.0,22.0,27.0,11.0,,1.0,1,0.175,2.0,7.0,1.0
0,3.0,1,15.0,12.0,16.0,0,24.0,20.0,29.0,25.0,19.0,,0.0,1,0.175,2.5,7.0,1.0
1,3.0,0,12.0,13.0,21.0,0,17.09,25.18,30.27,20.18,21.18,,3.0,0,0.35,2.0,7.0,1.0
1,3.0,0,8.0,7.0,13.0,0,28.0,15.0,24.0,30.0,14.0,,4.0,0,0.475,2.0,7.0,1.0
1,3.0,0,18.0,11.0,13.0,1,24.0,18.0,20.0,40.0,12.0,,4.0,0,0.35,3.5,7.0,1.0
1,8.0,0,6.0,14.0,16.0,1,30.0,14.0,18.0,38.0,8.0,12907.0,2.0,0,0.425,1.5,4.0,1.0
1,8.0,1,15.0,19.0,20.0,0,59.0,4.0,23.0,41.0,11.0,9349.0,1.0,0,0.5,1.5,4.0,1.0
0,8.0,1,16.0,15.0,13.0,0,48.0,5.0,32.0,33.0,4.0,,2.0,0,0.425,4.5,4.0,1.0
1,8.0,1,21.0,21.0,14.0,0,34.0,14.0,19.0,42.0,4.0,18826.0,0.0,1,0.425,1.0,4.0,1.0
1,8.0,1,10.0,16.0,11.0,1,35.0,6.0,21.0,50.0,4.0,29760.0,2.0,1,0.625,4.5,4.0,1.0
1,8.0,0,2.0,19.0,24.0,0,26.0,18.0,17.0,48.0,4.0,3724.0,0.0,1,0.45,1.0,4.0,1.0
1,8.0,0,26.0,24.0,20.0,0,30.0,7.0,24.0,46.0,8.0,1960.0,1.0,1,0.45,1.5,4.0,1.0
1,8.0,1,27.0,19.0,23.0,0,23.09,10.18,25.27,41.18,12.18,,2.0,0,0.625,1.0,4.0,1.0
1,8.0,0,23.0,17.0,17.0,0,34.0,2.0,19.0,51.0,3.0,,3.0,0,0.75,1.0,4.0,1.0
0,8.0,1,11.0,13.0,17.0,1,30.0,9.0,15.0,61.0,5.0,7928.0,3.0,0,0.625,2.5,4.0,1.0
1,5.0,0,2.0,28.0,20.0,0,32.0,15.0,23.0,10.0,9.0,32705.0,3.0,0,0.275,2.5,4.0,1.0
0,5.0,0,11.0,11.0,18.0,1,61.0,7.0,28.0,13.0,16.0,29147.0,0.0,0,0.35,2.5,4.0,1.0
0,5.0,0,16.0,17.0,11.0,0,50.0,4.0,37.0,5.0,3.0,,1.0,0,0.275,5.5,4.0,1.0
0,5.0,0,19.0,9.0,14.0,1,36.0,15.0,24.0,14.0,3.0,972.0,1.0,1,0.275,2.0,4.0,1.0
0,5.0,0,6.0,18.0,13.0,0,37.0,9.0,26.0,22.0,3.0,49558.0,3.0,1,0.475,5.5,4.0,1.0
0,5.0,0,4.0,15.0,18.0,1,28.0,21.0,22.0,20.0,9.0,23522.0,1.0,1,0.3,2.0,4.0,1.0
0,5.0,0,22.0,24.0,20.0,1,32.0,12.0,29.0,18.0,9.0,17838.0,2.0,1,0.3,2.5,4.0,1.0
1,5.0,0,23.0,15.0,21.0,1,25.09,17.18,30.27,13.18,11.18,,1.0,0,0.475,2.0,4.0,1.0
1,5.0,0,19.0,15.0,17.0,1,36.0,7.0,24.0,23.0,4.0,,2.0,0,0.6,2.0,4.0,1.0
0,5.0,0,7.0,15.0,13.0,0,32.0,10.0,20.0,33.0,2.0,11870.0,2.0,0,0.475,3.5,4.0,1.0
0,7.0,0,4.0,21.0,19.0,0,53.0,22.0,34.0,9.0,16.0,,4.0,0,0.3,5.5,5.0,1.0
0,7.0,1,7.0,12.0,5.0,1,82.0,6.0,39.0,12.0,9.0,,1.0,0,0.375,5.5,5.0,1.0
0,7.0,1,14.0,6.0,18.0,0,71.0,13.0,48.0,4.0,12.0,,0.0,0,0.3,8.5,5.0,1.0
0,7.0,1,15.0,12.0,7.0,1,57.0,22.0,35.0,13.0,12.0,,2.0,0,0.3,5.0,5.0,1.0
0,7.0,1,4.0,13.0,12.0,0,58.0,4.0,37.0,21.0,12.0,,4.0,0,0.5,8.5,5.0,1.0
0,7.0,0,10.0,12.0,15.0,1,49.0,26.0,33.0,19.0,6.0,,2.0,0,0.325,5.0,5.0,1.0
0,7.0,0,16.0,21.0,13.0,1,53.0,15.0,40.0,17.0,16.0,,3.0,0,0.325,5.5,5.0,1.0
1,7.0,1,17.0,16.0,14.0,1,46.09,16.18,41.269999999999996,12.18,20.18,,0.0,0,0.5,5.0,5.0,1.0
1,7.0,0,13.0,16.0,10.0,1,57.0,10.0,35.0,22.0,11.0,,1.0,0,0.625,5.0,5.0,1.0
0,7.0,1,13.0,6.0,14.0,0,53.0,17.0,31.0,32.0,13.0,,1.0,0,0.5,6.5,5.0,1.0
0,4.0,0,4.0,25.0,16.0,0,37.0,20.0,29.0,11.0,13.0,30939.0,9.0,0,0.1,1.5,3.0,2.0
0,4.0,1,9.0,10.0,12.0,0,66.0,12.0,34.0,14.0,6.0,27381.0,6.0,0,0.175,1.5,3.0,2.0
0,4.0,1,16.0,12.0,19.0,0,55.0,9.0,43.0,6.0,9.0,,5.0,0,0.1,4.5,3.0,2.0
0,4.0,1,19.0,8.0,14.0,0,41.0,20.0,30.0,15.0,9.0,794.0,7.0,0,0.1,1.0,3.0,2.0
0,4.0,1,6.0,17.0,17.0,0,42.0,14.0,32.0,23.0,9.0,47792.0,9.0,0,0.3,4.5,3.0,2.0
0,4.0,0,8.0,8.0,16.0,0,33.0,26.0,28.0,21.0,1.0,21756.0,7.0,0,0.125,1.0,3.0,2.0
0,4.0,0,18.0,23.0,20.0,0,37.0,17.0,35.0,19.0,13.0,16072.0,8.0,0,0.125,1.5,3.0,2.0
0,4.0,1,19.0,18.0,17.0,0,30.09,22.18,36.269999999999996,14.18,17.18,,5.0,0,0.3,1.0,3.0,2.0
1,4.0,0,15.0,18.0,15.0,0,41.0,12.0,30.0,24.0,8.0,,4.0,0,0.425,1.0,3.0,2.0
0,4.0,1,9.0,10.0,17.0,0,37.0,15.0,26.0,34.0,10.0,10104.0,4.0,0,0.3,2.5,3.0,2.0
0,5.0,0,8.0,22.0,11.0,0,36.33,15.11,15.11,12.11,10.11,17477.0,6.0,0,0.1,5.0,6.0,1.0
0,5.0,1,5.0,23.0,21.0,1,65.33,9.11,20.11,15.11,17.11,13919.0,3.0,0,0.175,5.0,6.0,1.0
0,5.0,1,14.0,21.0,8.0,0,54.33,4.109999999999999,29.11,7.109999999999999,4.109999999999999,,2.0,0,0.1,8.0,6.0,1.0
0,5.0,1,15.0,23.0,13.0,1,40.33,15.11,16.11,16.11,4.109999999999999,14256.0,4.0,0,0.1,4.5,6.0,1.0
0,5.0,1,8.0,22.0,10.0,0,41.33,11.11,18.11,24.11,4.109999999999999,34330.0,6.0,0,0.3,8.0,6.0,1.0
0,5.0,0,14.0,19.0,21.0,1,32.33,21.11,14.11,22.11,10.11,8294.0,4.0,0,0.125,4.5,6.0,1.0
0,5.0,0,12.0,36.0,17.0,1,36.33,12.11,21.11,20.11,10.11,2610.0,5.0,0,0.125,5.0,6.0,1.0
1,5.0,1,13.0,29.0,14.0,1,29.419999999999998,17.29,22.38,15.29,12.29,,2.0,0,0.3,4.5,6.0,1.0
0,5.0,0,9.0,31.0,14.0,1,40.33,7.109999999999999,16.11,25.11,5.109999999999999,,1.0,0,0.425,4.5,6.0,1.0
0,5.0,1,17.0,23.0,18.0,0,36.33,10.11,12.11,35.11,3.1099999999999994,3358.0,1.0,0,0.3,6.0,6.0,1.0
1,10.0,0,13.0,16.0,30.0,0,49.0,22.0,27.0,7.0,12.0,,7.0,0,0.55,1.5,1.0,1.0
1,10.0,1,22.0,17.0,14.0,0,78.0,6.0,32.0,10.0,13.0,,4.0,0,0.625,1.5,1.0,1.0
0,10.0,1,15.0,13.0,15.0,0,67.0,13.0,41.0,2.0,8.0,,3.0,0,0.55,4.5,1.0,1.0
1,10.0,1,16.0,21.0,20.0,0,53.0,22.0,28.0,11.0,8.0,,5.0,0,0.55,1.0,1.0,1.0
1,10.0,1,13.0,16.0,19.0,0,54.0,4.0,30.0,19.0,8.0,,7.0,0,0.75,4.5,1.0,1.0
1,10.0,0,13.0,21.0,14.0,0,45.0,26.0,26.0,17.0,10.0,,5.0,0,0.575,1.0,1.0,1.0
1,10.0,0,15.0,24.0,26.0,0,49.0,15.0,33.0,15.0,12.0,,6.0,0,0.575,1.5,1.0,1.0
1,10.0,1,24.0,17.0,27.0,0,43.91,16.18,34.269999999999996,10.18,16.18,,3.0,0,0.75,1.0,1.0,1.0
1,10.0,0,26.0,19.0,23.0,0,53.0,10.0,28.0,20.0,7.0,,2.0,0,0.875,1.0,1.0,1.0
1,10.0,1,6.0,11.0,13.0,0,49.0,17.0,24.0,30.0,9.0,,2.0,0,0.75,2.5,1.0,1.0
0,6.0,0,13.0,30.0,36.0,0,102.0,21.0,18.0,13.0,12.0,,3.0,0,0.525,1.5,1.0,1.0
0,6.0,1,20.0,7.0,22.0,1,131.0,7.0,23.0,20.0,13.0,,0.0,0,0.6,1.5,1.0,1.0
0,6.0,1,17.0,17.0,19.0,0,120.0,12.0,34.0,8.0,8.0,,1.0,0,0.525,4.5,1.0,1.0
0,6.0,1,18.0,17.0,22.0,1,106.0,21.0,17.0,19.0,8.0,,1.0,0,0.525,1.0,1.0,1.0
0,6.0,1,15.0,18.0,19.0,0,107.0,5.0,25.0,21.0,8.0,,3.0,0,0.725,4.5,1.0,1.0
0,6.0,0,15.0,17.0,16.0,1,98.0,25.0,19.0,23.0,10.0,,1.0,0,0.5499999999999999,1.0,1.0,1.0
0,6.0,0,13.0,16.0,24.0,1,102.0,14.0,22.0,15.0,12.0,,2.0,0,0.5499999999999999,1.5,1.0,1.0
1,6.0,1,22.0,5.0,23.0,1,95.09,15.18,25.27,16.18,16.18,,1.0,0,0.725,1.0,1.0,1.0
0,6.0,0,24.0,15.0,25.0,1,106.0,9.0,17.0,30.0,7.0,,2.0,0,0.85,1.0,1.0,1.0
0,6.0,1,8.0,15.0,17.0,0,102.0,16.0,11.0,40.0,9.0,,2.0,0,0.725,2.5,1.0,1.0
0,5.0,1,16.0,17.0,17.0,0,29.0,19.0,27.0,21.0,11.0,,4.0,0,0.05,8.5,7.0,4.0
0,5.0,1,13.0,6.0,20.0,0,32.0,22.0,13.0,34.0,21.0,,9.0,0,0.075,4.5,7.0,4.0
0,5.0,1,14.0,10.0,16.0,0,21.0,25.0,23.0,18.0,12.0,,2.0,0,0.075,4.5,7.0,4.0
0,5.0,0,7.0,15.0,16.0,1,29.0,36.0,34.0,16.0,24.0,,3.0,0,0.025,4.5,7.0,4.0
0,5.0,0,17.0,21.0,32.0,0,25.0,15.0,27.0,26.0,12.0,,3.0,0,0.125,5.5,7.0,4.0
